published_date,txt_cases,txt_cases_admitted_icu,txt_cases_cork,txt_cases_cork_pct,txt_cases_dublin,txt_cases_dublin_pct,txt_cases_healthcare_workers,txt_cases_healthcare_workers_pct,txt_cases_hospitalised,txt_cases_hospitalised_pct,txt_cases_median_age,txt_close_contact_pct,txt_clusters,txt_clusters_cases,txt_clusters_residential_care,txt_clusters_residential_care_nursing_homes,txt_community_transmission_pct,txt_deaths,txt_deaths_median_age,txt_deaths_residential_care,txt_deaths_residential_care_nursing_homes,txt_female_pct,txt_male_pct,txt_new_cases,txt_new_cases_germany,txt_new_deaths,txt_new_deaths_east,txt_new_deaths_females,txt_new_deaths_males,txt_new_deaths_median_age,txt_new_deaths_northwest,txt_new_deaths_south,txt_new_deaths_underlying,txt_new_deaths_west,txt_tests,txt_travel_abroad_pct,txt_growth_rate
"at: <time datetime=""2020-05-03T16:15",21506.0,363.0,,,,,6068.0,,2825.0,0.13,49.0,0.34,,,,,0.63,1303.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-04T15:45",21772.0,364.0,,,,,6211.0,,2840.0,0.13,49.0,0.34,,,,,0.63,1319.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-05T15:49",21983.0,369.0,,,,,6293.0,,2879.0,0.13,49.0,0.35,,,,,0.62,1339.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-07T16:33",22385.0,376.0,,,,,6498.0,,2891.0,0.13,49.0,0.35,,,,,0.62,1403.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-08T15:08",22541.0,373.0,,,,,6586.0,,2915.0,0.13,49.0,0.35,,,,,0.61,1429.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-09T15:39",22760.0,381.0,,,,,6669.0,,2954.0,0.13,49.0,0.35,,,,,0.61,1446.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-10T16:15",22996.0,383.0,,,,,6771.0,,2986.0,0.13,49.0,0.36,,,,,0.61,1458.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-11T17:00",23135.0,383.0,,,,,6834.0,,2998.0,0.13,49.0,0.36,,,,,0.61,1467.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-12T17:00",23242.0,386.0,,,,,6906.0,,3031.0,0.13,49.0,0.36,,,,,0.61,1488.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-13T17:00",23401.0,389.0,,,,,6997.0,,3050.0,0.13,48.0,0.37,,,,,0.6,1497.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-14T17:30",23827.0,387.0,,,,,7123.0,,3053.0,0.13,48.0,0.37,,,,,0.6,1506.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-15T18:00",23956.0,387.0,,,,,7427.0,,3062.0,0.13,48.0,0.37,,,,,0.61,1518.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-16T15:57",24048.0,389.0,,,,,7530.0,,3092.0,0.13,48.0,0.37,,,,,0.6,1533.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-17T15:30",24112.0,389.0,,,,,7566.0,,3117.0,0.13,48.0,0.37,,,,,0.6,1543.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-18T16:45",24200.0,391.0,,,,,7615.0,,3127.0,0.13,48.0,0.37,,,,,0.6,1547.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-19T17:00",24251.0,390.0,,,,,7661.0,,3143.0,0.13,48.0,0.37,,,,,0.6,1561.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-20T17:45",24315.0,393.0,,,,,7708.0,,3164.0,0.13,48.0,0.37,,,,,0.6,1571.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-21T16:45",24391.0,392.0,1386.0,0.06,11765.0,0.49,7747.0,,3183.0,0.13,48.0,0.37,,,,,0.6,1583.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-22T18:15",24506.0,393.0,1398.0,0.06,11794.0,0.48,7791.0,,3194.0,0.13,48.0,0.37,,,,,0.6,1592.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-23T15:16",24582.0,393.0,1420.0,0.06,11830.0,0.48,7813.0,,3211.0,0.13,48.0,0.38,,,,,0.6,1604.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-24T16:12",24639.0,394.0,1428.0,0.06,11873.0,0.48,7819.0,,3222.0,0.13,48.0,0.38,,,,,0.59,1608.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-25T17:01",24698.0,394.0,1438.0,0.06,11876.0,0.48,7842.0,,3225.0,0.13,48.0,0.38,,,,,0.59,,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-26T17:09",24735.0,395.0,1440.0,0.06,11894.0,0.48,7852.0,,3233.0,0.13,48.0,0.38,,,,,0.59,1615.0,,,,,,,,,,,,,,,,,,0.03,
"at: <time datetime=""2020-05-27T17:37",24803.0,399.0,1451.0,0.06,11961.0,0.48,7891.0,,3251.0,0.13,48.0,0.58,,,,,0.4,1631.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-28T17:53",24841.0,404.0,1458.0,0.06,11996.0,0.48,7920.0,,3267.0,0.13,48.0,0.58,,,,,0.4,1639.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-29T17:13",24876.0,404.0,1464.0,0.06,12023.0,0.48,7943.0,,3270.0,0.13,48.0,0.58,,,,,0.4,1645.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-30T16:32",24929.0,408.0,1472.0,0.06,12031.0,0.48,7955.0,,3279.0,0.13,48.0,0.58,,,,,0.39,1651.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-05-31T16:19",24990.0,408.0,1477.0,0.06,12042.0,0.48,7963.0,,3283.0,0.13,48.0,0.58,,,,,0.39,1652.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-01T16:38",25062.0,408.0,1514.0,0.06,12052.0,0.48,7968.0,,3286.0,0.13,48.0,0.58,,,,,0.39,1650.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-02T17:09",25066.0,408.0,1517.0,0.06,12090.0,0.48,7986.0,,3292.0,0.13,48.0,0.58,,,,,0.39,1658.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-03T17:12",25111.0,409.0,1517.0,0.06,12093.0,0.48,8004.0,,3298.0,0.13,48.0,0.59,,,,,0.39,1659.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-04T16:58",25142.0,410.0,1521.0,0.06,12109.0,0.48,8025.0,,3311.0,0.13,48.0,0.59,,,,,0.39,1664.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-05T17:01",25163.0,410.0,1527.0,0.06,12118.0,0.48,8046.0,,3312.0,0.13,48.0,0.59,,,,,0.39,1670.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-06T16:51",25183.0,410.0,1528.0,0.06,12127.0,0.48,8059.0,,3319.0,0.13,48.0,0.59,,,,,0.39,1678.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-07T15:39",25201.0,409.0,1529.0,0.06,12139.0,0.48,8057.0,,3321.0,0.13,48.0,0.59,,,,,0.39,1679.0,,,,,,,,,,,,,,,,,,0.02,
"at: <time datetime=""2020-06-08T17:08",25207.0,411.0,1529.0,0.06,12158.0,0.48,8073.0,,3322.0,0.13,48.0,0.59,,,,,0.39,1683.0,,,,,,,,,,,,,,,,,,0.02,
